case_id,split,equation_name,transform,n_params,optimizer,time_s,final_mse,final_nmse,converged,n_feval,timed_out
BPG7_T1b,bpg,BPG7,T1b,8,L-BFGS-B,1.195,2.818808e-05,4.258579e-05,False,3555,False
BPG7_T1b,bpg,BPG7,T1b,8,least_squares,0.321,2.498672e-13,3.774926e-13,True,106,False
BPG8_T1a,bpg,BPG8,T1a,7,CMA-ES,4.789,3.108701e-09,7.632715e-11,True,10540,False
BPG8_T1a,bpg,BPG8,T1a,7,DE,20.515,1.969234e-11,4.835011e-13,True,52986,False
BPG8_T1a,bpg,BPG8,T1a,7,Hybrid,2.993,1.969278e-11,4.835119e-13,True,3748,False
BPG8_T1a,bpg,BPG8,T1a,7,L-BFGS-B,1.021,2.244681e-01,5.511309e-03,False,1280,False
BPG8_T1a,bpg,BPG8,T1a,7,least_squares,0.79,1.969277e-11,4.835116e-13,True,73,False
BPG8_T1b,bpg,BPG8,T1b,7,CMA-ES,24.419,2.237594e-05,5.493909e-07,False,60000,False
BPG8_T1b,bpg,BPG8,T1b,7,DE,79.285,2.077396e-05,5.100578e-07,False,210562,False
BPG8_T1b,bpg,BPG8,T1b,7,Hybrid,28.85,1.969457e-11,4.835558e-13,True,36703,False
BPG8_T1b,bpg,BPG8,T1b,7,L-BFGS-B,1.087,3.999556e-03,9.820010e-05,False,3080,False
BPG8_T1b,bpg,BPG8,T1b,7,least_squares,0.183,1.969343e-11,4.835279e-13,True,67,False
BPG9_T1a,bpg,BPG9,T1a,8,CMA-ES,18.404,4.055808e-09,1.303318e-08,False,51000,False
BPG9_T1a,bpg,BPG9,T1a,8,DE,77.485,3.070087e-09,9.865603e-09,False,240501,False
BPG9_T1a,bpg,BPG9,T1a,8,Hybrid,18.01,2.464307e-13,7.918952e-13,True,28295,False
BPG9_T1a,bpg,BPG9,T1a,8,L-BFGS-B,3.273,3.193952e-06,1.026364e-05,False,6651,False
BPG9_T1a,bpg,BPG9,T1a,8,least_squares,2.682,2.464315e-13,7.918978e-13,True,943,False
BPG9_T1b,bpg,BPG9,T1b,8,CMA-ES,11.217,4.009355e-09,1.288390e-08,False,24620,False
BPG9_T1b,bpg,BPG9,T1b,8,DE,97.131,1.064452e-09,3.420576e-09,False,230894,False
BPG9_T1b,bpg,BPG9,T1b,8,Hybrid,18.013,2.458000e-13,7.898685e-13,True,21179,False
BPG9_T1b,bpg,BPG9,T1b,8,L-BFGS-B,2.665,1.428950e-05,4.591876e-05,False,6777,False
